property_type_location,Property,price,relative_url,property_status,last_updated,num_bedrooms,num_bathrooms,num_parking,area,furnishing,counting,scraped_date
Condominium • Makati,"Kroma Tower, Legazpi Village, Makati","Php 6,300,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4802681,Available,"January 4, 2024",1,1,1,30 sqm,Fully Furnished,119,2024-10-26
Condominium • Makati,"Tower 2, The Columns Legaspi, Legazpi Village, Makati","Php 14,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-columns-legaspi-rs4689281,Available,"February 17, 2024",2,2,1,76 sqm,,120,2024-10-26
Condominium • Makati,"Tower 1, Park Terraces, San Lorenzo Village, Makati","Php 21,000,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-park-terraces-rs4854181,Available,"February 6, 2024",1,1,1,69 sqm,Fully Furnished,121,2024-10-26
Condominium • Makati,"The Gramercy Residences, Poblacion, Makati","Php 8,960,000",https://www.hoppler.com.ph/makati-poblacion-the-gramercy-residences-rs2311281,Available,"February 17, 2024",1,1,1,39 sqm,Fully Furnished,122,2024-10-26
Condominium • Makati,"Antel Spa Residences, Poblacion, Makati","Php 3,549,000",https://www.hoppler.com.ph/makati-poblacion-antel-spa-residences-rs4852681,Available,"February 5, 2024",1,1,1,25 sqm,Fully Furnished,123,2024-10-26
Condominium • Makati,"Sakura at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 80,000,000",https://www.hoppler.com.ph/makati-rockwell-center-sakura-at-the-proscenium-rockwell-center-rs4632781,Available,"February 7, 2024",3,3,2,193 sqm,Fully Furnished,124,2024-10-26
Condominium • Makati,"Tower 2, The Columns Legaspi, Legazpi Village, Makati","Php 11,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-columns-legaspi-rs4801981,Available,"January 4, 2024",1,1,1,66 sqm,Fully Furnished,125,2024-10-26
Condominium • Makati,"Tower 1, San Lorenzo Place, San Lorenzo Village, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-san-lorenzo-village-san-lorenzo-place-rs4797881,Available,"January 4, 2024",1,1,1,32 sqm,Fully Furnished,126,2024-10-26
Condominium • Makati,"The Gramercy Residences, Poblacion, Makati","Php 8,500,000",https://www.hoppler.com.ph/makati-poblacion-the-gramercy-residences-rs4800681,Available,"January 4, 2024",1,1,1,54 sqm,Fully Furnished,127,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 4,000,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4801081,Available,"January 4, 2024",1,1,1,24 sqm,Fully Furnished,128,2024-10-26
Condominium • Makati,"The Grand Midori Makati, Legazpi Village, Makati","Php 60,000,000",https://www.hoppler.com.ph/makati-legaspi-village-the-grand-midori-makati-rs4800781,Available,"January 4, 2024",3,2,3,192 sqm,Fully Furnished,129,2024-10-26
Condominium • Makati,"Paseo De Roces, Pio del Pilar, Makati","Php 4,800,000",https://www.hoppler.com.ph/makati-pio-del-pilar-paseo-de-roces-rs4802281,Available,"January 4, 2024",1,1,1,22 sqm,Fully Furnished,130,2024-10-26
Condominium • Makati,"Sunny Ridge Residences, Rizal Village, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-rizal-village-sunny-ridge-residences-rs4783781,Available,"January 4, 2024",2,1,2,42 sqm,Fully Furnished,131,2024-10-26
Condominium • Makati,"Tower 1, Alphaland Makati Place, Bel-Air Village, Makati","Php 14,336,000",https://www.hoppler.com.ph/makati-bel-air-village-alphaland-makati-place-rs4762881,Available,"January 4, 2024",1,1,1,63 sqm,Fully Furnished,132,2024-10-26
Condominium • Makati,"Paseo De Roces, Pio del Pilar, Makati","Php 5,000,000",https://www.hoppler.com.ph/makati-pio-del-pilar-paseo-de-roces-rs4769781,Available,"January 4, 2024",1,1,1,25 sqm,Fully Furnished,133,2024-10-26
Condominium • Makati,"Tower 1, Laureano di Trevi, Pio del Pilar, Makati","Php 2,900,000",https://www.hoppler.com.ph/makati-pio-del-pilar-laureano-di-trevi-rs4777281,Available,"January 4, 2024",1,1,1,21 sqm,Fully Furnished,134,2024-10-26
Condominium • Makati,"Calisto at Circuit Makati, makati city, Makati","Php 16,000,000",https://www.hoppler.com.ph/makati-makati-city-calisto-at-circuit-makati-rs4746481,Available,"January 4, 2024",1,1,1,53 sqm,,135,2024-10-26
Condominium • Makati,"Solstice, Carmona, Makati","Php 18,000,000",https://www.hoppler.com.ph/makati-carmona-solstice-rs4746381,Available,"January 4, 2024",1,1,1,56 sqm,Fully Furnished,136,2024-10-26
Condominium • Makati,"Eton Tower, Legazpi Village, Makati","Php 4,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-tower-rs4840381,Available,"January 10, 2024",1,1,1,26 sqm,Semi-Furnished,137,2024-10-26
Condominium • Makati,"Avida Towers Asten, San Antonio Village, Makati","Php 3,500,000",https://www.hoppler.com.ph/makati-san-antonio-village-avida-towers-asten-rs4723581,Available,"January 4, 2024",1,1,1,23 sqm,,138,2024-10-26
Condominium • Makati,"West of Ayala, Bel-Air Village, Makati","Php 15,500,000",https://www.hoppler.com.ph/makati-bel-air-village-west-of-ayala-rs4727381,Available,"January 12, 2024",2,2,1,103 sqm,Fully Furnished,139,2024-10-26
Condominium • Makati,"Alpha Salcedo, Salcedo Village, Makati","Php 5,000,000",https://www.hoppler.com.ph/makati-salcedo-village-alpha-salcedo-rs4240581,Available,"December 27, 2023",1,1,1,31 sqm,Fully Furnished,140,2024-10-26
Condominium • Makati,"Tower 3, The Beacon, Legazpi Village, Makati","Php 3,300,000",https://www.hoppler.com.ph/makati-legaspi-village-the-beacon-rs4728281,Available,"January 4, 2024",1,1,1,21 sqm,Fully Furnished,141,2024-10-26
Condominium • Makati,"Alpha Salcedo, Salcedo Village, Makati","Php 5,000,000",https://www.hoppler.com.ph/makati-salcedo-village-alpha-salcedo-rs4240681,Available,"December 27, 2023",1,1,1,31 sqm,Fully Furnished,142,2024-10-26
Condominium • Makati,"Eton Tower, Legazpi Village, Makati","Php 4,500,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-tower-rs4813581,Available,"January 4, 2024",1,1,1,21 sqm,Fully Furnished,143,2024-10-26
Condominium • Makati,"Prince Plaza, Legazpi Village, Makati","Php 7,000,000",https://www.hoppler.com.ph/makati-legaspi-village-prince-plaza-rs4831381,Available,"January 4, 2024",1,1,1,24 sqm,Semi-Furnished,144,2024-10-26
Condominium • Makati,"Knightsbridge Residences, Poblacion, Makati","Php 9,900,000",https://www.hoppler.com.ph/makati-poblacion-knightsbridge-residences-rs4824781,Available,"January 4, 2024",1,1,1,54 sqm,Semi-Furnished,145,2024-10-26
Condominium • Makati,"Three Central Tower, Three Central, Salcedo Village, Makati","Php 9,500,000",https://www.hoppler.com.ph/makati-salcedo-village-three-central-rs4787781,Available,"January 4, 2024",1,1,1,41 sqm,Fully Furnished,146,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 4,000,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4830581,Available,"January 4, 2024",1,1,1,24 sqm,,147,2024-10-26
Condominium • Makati,"Paseo De Roces, Pio del Pilar, Makati","Php 4,900,000",https://www.hoppler.com.ph/makati-pio-del-pilar-paseo-de-roces-rs4828881,Available,"January 4, 2024",1,1,1,28 sqm,Fully Furnished,148,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 3,800,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4828081,Available,"January 4, 2024",1,1,1,35 sqm,Semi-Furnished,149,2024-10-26
Condominium • Makati,"Knightsbridge Residences, Poblacion, Makati","Php 6,700,000",https://www.hoppler.com.ph/makati-poblacion-knightsbridge-residences-rs4818081,Available,"January 4, 2024",1,1,1,27 sqm,Fully Furnished,150,2024-10-26
Condominium • Makati,"Tower A, Jazz Residences, Bel-Air Village, Makati","Php 4,800,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4820581,Available,"January 4, 2024",1,1,1,27 sqm,Fully Furnished,151,2024-10-26
Condominium • Makati,"Air Residences, San Antonio Village, Makati","Php 5,300,000",https://www.hoppler.com.ph/makati-san-antonio-village-air-residences-rs4821181,Available,"January 4, 2024",1,1,1,26 sqm,Fully Furnished,152,2024-10-26
Condominium • Makati,"Victoria De Makati, Pio del Pilar, Makati","Php 7,000,000",https://www.hoppler.com.ph/makati-pio-del-pilar-victoria-de-makati-rs4805781,Available,"January 4, 2024",2,2,2,42 sqm,Fully Furnished,153,2024-10-26
Condominium • Makati,"Skyland Plaza, Bel-Air Village, Makati","Php 8,900,000",https://www.hoppler.com.ph/makati-bel-air-village-skyland-plaza-rs4806081,Available,"January 4, 2024",1,1,1,50 sqm,,154,2024-10-26
Condominium • Makati,"The Grand Midori Makati, Legazpi Village, Makati","Php 10,500,000",https://www.hoppler.com.ph/makati-legaspi-village-the-grand-midori-makati-rs4815281,Available,"January 4, 2024",1,1,1,51 sqm,Fully Furnished,155,2024-10-26
Condominium • Makati,"Galleria De Magallanes Tower, Galleria de Magallanes, Makati City, Magallanes, Makati","Php 36,000,000",https://www.hoppler.com.ph/makati-magallanes-galleria-de-magallanes-makati-city-rs4774181,Available,"October 6, 2023",3,3,2,228 sqm,Semi-Furnished,156,2024-10-26
Condominium • Makati,"Eton Parkview, Legazpi Village, Makati","Php 25,000,000",https://www.hoppler.com.ph/makati-legaspi-village-eton-parkview-rs4805281,Available,"January 4, 2024",3,3,3,101 sqm,Fully Furnished,157,2024-10-26
Condominium • Makati,"Knightsbridge Residences, Poblacion, Makati","Php 10,000,000",https://www.hoppler.com.ph/makati-poblacion-knightsbridge-residences-rs4805481,Available,"January 4, 2024",1,1,1,54 sqm,Fully Furnished,158,2024-10-26
Condominium • Makati,"Alphaland Makati Place, Bel-Air Village, Makati","Php 30,600,000",https://www.hoppler.com.ph/makati-bel-air-village-alphaland-makati-place-rs4805181,Available,"January 4, 2024",2,2,2,120 sqm,Fully Furnished,159,2024-10-26
Condominium • Makati,"Tower 1 , Garden Towers, Legazpi Village, Makati","Php 24,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4812781,Available,"October 18, 2023",1,1,1,69 sqm,Semi-Furnished,160,2024-10-26
Condominium • Makati,"Brio Tower, Guadalupe Viejo, Makati","Php 5,500,000",https://www.hoppler.com.ph/makati-guadalupe-viejo-brio-tower-rs4830681,Available,"January 4, 2024",1,1,1,28 sqm,Fully Furnished,161,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 24,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4812681,Available,"October 18, 2023",1,1,1,69 sqm,Semi-Furnished,162,2024-10-26
Condominium • Makati,"Tower 1, The Columns Ayala, Bel-Air Village, Makati","Php 17,000,000",https://www.hoppler.com.ph/makati-bel-air-village-the-columns-ayala-rs4816981,Available,"October 27, 2023",2,2,1,67 sqm,Fully Furnished,163,2024-10-26
Condominium • Makati,"The Rise Tower, The Rise Makati, San Antonio Village, Makati","Php 5,980,000",https://www.hoppler.com.ph/makati-san-antonio-village-the-rise-makati-rs4821581,Available,"November 9, 2023",1,1,1,28 sqm,Fully Furnished,164,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 24,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4812981,Available,"October 18, 2023",1,1,1,69 sqm,Semi-Furnished,165,2024-10-26
Condominium • Makati,"Mosaic Tower, Mosaic at Greenbelt, Legazpi Village, Makati","Php 6,500,000",https://www.hoppler.com.ph/makati-legaspi-village-mosaic-at-greenbelt-rs4813281,Available,"October 19, 2023",1,1,1,33 sqm,Fully Furnished,166,2024-10-26
Condominium • Makati,"Prince Plaza II Tower, Prince Plaza II, Legazpi Village, Makati","Php 7,500,000",https://www.hoppler.com.ph/makati-legaspi-village-prince-plaza-ii-rs4813181,Available,"October 18, 2023",1,1,1,33 sqm,,167,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 24,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4812881,Available,"October 18, 2023",1,1,1,69 sqm,Semi-Furnished,168,2024-10-26
Condominium • Makati,"The Gramercy Residences, Poblacion, Makati","Php 17,900,000",https://www.hoppler.com.ph/makati-poblacion-the-gramercy-residences-rs4820481,Available,"November 7, 2023",2,2,1,69 sqm,Fully Furnished,169,2024-10-26
Condominium • Makati,"Tower 1, Signa Designer Residences, Salcedo Village, Makati","Php 8,000,000",https://www.hoppler.com.ph/makati-salcedo-village-signa-designer-residences-rs3950181,Available,"November 15, 2023",1,1,1,35 sqm,Fully Furnished,170,2024-10-26
Condominium • Makati,"Tower 1 , The Columns Legaspi, Legazpi Village, Makati","Php 7,500,000",https://www.hoppler.com.ph/makati-legaspi-village-the-columns-legaspi-rs4686081,Available,"November 16, 2023",1,1,1,32 sqm,Fully Furnished,171,2024-10-26
Condominium • Makati,"Paseo Heights, Salcedo Village, Makati","Php 7,900,000",https://www.hoppler.com.ph/makati-salcedo-village-paseo-heights-rs4342581,Available,"November 29, 2023",1,1,1,30 sqm,Semi-Furnished,172,2024-10-26
Condominium • Makati,"One Lafayette Square, Salcedo Village, Makati","Php 28,000,000",https://www.hoppler.com.ph/makati-salcedo-village-one-lafayette-square-rs4835481,Available,"December 13, 2023",3,3,1,170 sqm,,173,2024-10-26
Condominium • Makati,"Lincoln at The Proscenium, Rockwell Center, Rockwell Center, Makati","Php 10,500,000",https://www.hoppler.com.ph/makati-rockwell-center-lincoln-at-the-proscenium-rockwell-center-rs4634581,Available,"November 11, 2023",1,1,1,32 sqm,Fully Furnished,174,2024-10-26
Condominium • Makati,"Tower D, Jazz Residences, Bel-Air Village, Makati","Php 13,000,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs3818281,Available,"December 3, 2023",1,1,1,41 sqm,Semi-Furnished,175,2024-10-26
Condominium • Makati,"Trump Tower Manila, Poblacion, Makati","Php 19,500,000",https://www.hoppler.com.ph/makati-poblacion-trump-tower-manila-rs4625281,Available,"December 5, 2023",1,1,1,58 sqm,Fully Furnished,176,2024-10-26
Condominium • Makati,"Ponte Salcedo, Salcedo Village, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-salcedo-village-ponte-salcedo-rs4660381,Available,"December 13, 2023",2,2,1,140 sqm,,177,2024-10-26
Condominium • Makati,"Forbes Tower Manila, Fraser Place, Salcedo Village, Makati","Php 60,000,000",https://www.hoppler.com.ph/makati-salcedo-village-fraser-place-rs4402181,Available,"August 21, 2023",3,4,2,263 sqm,Fully Furnished,178,2024-10-26
Condominium • Makati,"East Tower, One Rockwell, Rockwell Center, Makati","Php 30,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs3773181,Available,"August 29, 2023",1,1,1,115 sqm,Fully Furnished,179,2024-10-26
Condominium • Makati,"Amorsolo East, Rockwell Center, Makati","Php 32,000,000",https://www.hoppler.com.ph/makati-rockwell-center-amorsolo-east-rs4726581,Available,"September 1, 2023",1,1,1,100 sqm,Fully Furnished,180,2024-10-26
Condominium • Makati,"One Lafayette Square, Salcedo Village, Makati","Php 20,000,000",https://www.hoppler.com.ph/makati-salcedo-village-one-lafayette-square-rs4452381,Available,"August 24, 2023",2,2,2,122 sqm,Fully Furnished,181,2024-10-26
Condominium • Makati,"Edades Tower and Garden Villas, Rockwell Center, Makati","Php 85,000,000",https://www.hoppler.com.ph/makati-rockwell-center-edades-tower-and-garden-villas-rs4787981,Available,"August 25, 2023",3,3,2,190 sqm,Semi-Furnished,182,2024-10-26
Condominium • Makati,"Rizal Tower, Rockwell Center, Makati","Php 85,000,000",https://www.hoppler.com.ph/makati-rockwell-center-rizal-tower-rs4788181,Available,"August 25, 2023",3,3,3,286 sqm,,183,2024-10-26
Condominium • Makati,"Pacific Plaza Ayala, Urdaneta Village, Makati","Php 55,000,000",https://www.hoppler.com.ph/makati-urdaneta-village-pacific-plaza-ayala-rs4617581,Available,"August 18, 2023",3,4,2,285 sqm,,184,2024-10-26
Condominium • Makati,"Kroma Tower, Legazpi Village, Makati","Php 16,800,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4790881,Available,"September 2, 2023",1,1,1,43 sqm,,185,2024-10-26
Condominium • Makati,"Tower B, Jazz Residences, Bel-Air Village, Makati","Php 9,300,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4791081,Available,"September 2, 2023",2,1,2,54 sqm,Fully Furnished,186,2024-10-26
Condominium • Makati,"Senta, Legazpi Village, Makati","Php 17,500,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs3515281,Available,"September 4, 2023",1,1,1,60 sqm,Fully Furnished,187,2024-10-26
Condominium • Makati,"Senta Tower, Senta, Legazpi Village, Makati","Php 16,000,000",https://www.hoppler.com.ph/makati-legaspi-village-senta-rs4796081,Available,"September 17, 2023",1,1,1,54 sqm,Fully Furnished,188,2024-10-26
Condominium • Makati,"West Tower, One Rockwell, Rockwell Center, Makati","Php 35,000,000",https://www.hoppler.com.ph/makati-rockwell-center-one-rockwell-rs4682381,Available,"September 18, 2023",2,2,1,106 sqm,Fully Furnished,189,2024-10-26
Condominium • Makati,"Greenbelt Chancellor Tower, Greenbelt Chancellor, Legazpi Village, Makati","Php 6,900,000",https://www.hoppler.com.ph/makati-legaspi-village-greenbelt-chancellor-rs4797181,Available,"September 18, 2023",1,1,1,36 sqm,,190,2024-10-26
Condominium • Makati,"Tower 1, Garden Towers, Legazpi Village, Makati","Php 42,000,000",https://www.hoppler.com.ph/makati-legaspi-village-garden-towers-rs4796881,Available,"September 26, 2023",2,2,1,138 sqm,Semi-Furnished,191,2024-10-26
Condominium • Makati,"The Proscenium Residences, Rockwell Center, Makati","Php 33,500,000",https://www.hoppler.com.ph/makati-rockwell-center-the-proscenium-residences-rs4798481,Available,"September 20, 2023",2,2,1,92 sqm,,192,2024-10-26
Condominium • Makati,"One Central Condominium Tower, One Central, Salcedo Village, Makati","Php 12,500,000",https://www.hoppler.com.ph/makati-salcedo-village-one-central-rs4791881,Available,"September 14, 2023",1,2,1,56 sqm,Fully Furnished,193,2024-10-26
Condominium • Makati,"Greenbelt Chancellor, Legazpi Village, Makati","Php 9,000,000",https://www.hoppler.com.ph/makati-legaspi-village-greenbelt-chancellor-rs4796681,Available,"September 22, 2023",1,1,1,42 sqm,Fully Furnished,194,2024-10-26
Condominium • Makati,"Tower A, Jazz Residences, Bel-Air Village, Makati","Php 7,000,000",https://www.hoppler.com.ph/makati-bel-air-village-jazz-residences-rs4745581,Available,"May 12, 2023",2,2,1,31 sqm,Fully Furnished,195,2024-10-26
Condominium • Makati,"Kroma Tower, Legazpi Village, Makati","Php 18,500,000",https://www.hoppler.com.ph/makati-legaspi-village-kroma-tower-rs4752081,Available,"May 24, 2023",2,2,1,90 sqm,,196,2024-10-26
Condominium • Makati,"Rada Regency, Legazpi Village, Makati","Php 6,500,000",https://www.hoppler.com.ph/makati-legaspi-village-rada-regency-rs4519381,Available,"May 14, 2023",1,1,1,31 sqm,Semi-Furnished,197,2024-10-26
